,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
0,Jakarta Utara,KEC. PENJARINGAN,KEL. KAMAL MUARA,"01, 02, 03, 04",4,5,0,0,3 - 20 cm," 7, 9, 10, 18, 19, 20, 21, 22, 30 januari 2019",0,0,0,0,0,0,0,0
1,Jakarta Utara,KEC. PENJARINGAN,KEL. PLUIT,"01, 02, 07, 022",4,6,0,0,3 - 40 cm," 20, 21, 25, 30 januari 2019",0,0,0,0,0,0,0,0
2,Jakarta Utara,KEC. PENJARINGAN,KEL. PEJAGALAN,15,1,1,0,0,10 - 15 cm, 30 januari 2019,0,0,0,0,0,0,0,0
3,Jakarta Utara,KEC. PENJARINGAN,KEL. PENJARINGAN,"010, 017",2,2,0,0,5 - 10 cm, 30 januari 2019,0,0,0,0,0,0,0,0
4,Jakarta Utara,KEC. CILINCING,KEL. ROROTAN,5,1,1,0,0,10 - 20 cm, 25 januari 2019,0,0,0,0,0,0,0,0
5,Jakarta Utara,KEC. CILINCING,KEL. SUKAPURA,12,1,1,0,0,10 - 20 cm, 30 januari 2019,0,0,0,0,0,0,0,0
6,Jakarta Utara,KEC. CILINCING,KEL. CILINCING,"06, 09",2,3,0,0,10 - 20 cm, 30 januari 2019,0,0,0,0,0,0,0,0
7,Jakarta Utara,KEC. CILINCING,KEL. SEMPER TIMUR,"02, 03, 10, 11",4,11,0,0,5 - 30 cm, 30 januari 2019,0,0,0,0,0,0,0,0
8,Jakarta Utara,KEC. CILINCING,KEL. MARUNDA,"02, 07",2,4,0,0,10 - 20 cm, 30 januari 2019,0,0,0,0,0,0,0,0
9,Jakarta Utara,KEC. KELAPA GADING,KEL. PEGANGSAAN DUA,3,1,1,0,0,10 - 30 cm, 30 januari 2019,0,0,0,0,0,0,0,0
10,Jakarta Utara,KEC. KELAPA GADING,KEL. KELAPA GADING BARAT,"015, 016, 20",3,3,0,0,10 - 20 cm,30 januari 2019,0,0,0,0,0,0,0,0
11,Jakarta Utara,KEC. KOJA,KEL. KEL. TUGU SELATAN,4,1,3,0,0,10 - 30 cm,30 januari 2019,0,0,0,0,0,0,0,0
12,Jakarta Utara,KEC. TANJUNG PRIOK,KEL. TANJUNG PRIOK,"11, 016",2,2,0,0,10 - 25 cm, 30  januari 2019,0,0,0,0,0,0,0,0
13,Jakarta Barat,KEC. KALIDERES,KEL. KAMAL,1,1,3,0,0,3 - 10 cm," 4, 9, 10, 11, 18, 19 januari 2019",0,0,0,0,0,0,0,0
14,Jakarta Barat,KEC. KALIDERES,KEL. TEGAL ALUR,3,1,1,0,0,40 - 50 cm, 25 januari 2019,0,0,0,0,0,0,0,0
15,Jakarta Barat,KEC. KALIDERES,KEL. PEGADUNGAN,7,1,1,0,0,40 - 60 cm, 25 januari 2019,0,0,0,0,0,0,0,0
16,Jakarta Barat,KEC. KEBON JERUK,KEL. DURI KEPA,2,1,1,0,0,25 cm, 18 januari 2019,0,0,0,0,0,0,0,0
17,Jakarta Barat,KEC. KEBON JERUK,KEL. KEDOYA SELATAN,5,1,1,0,0,30 - 40 cm, 25 januari 2019,0,0,0,0,0,0,0,0
18,Jakarta Barat,KEC. KEBON JERUK,KEL. KEDOYA UTARA,8,1,7,0,0,20 - 30 cm, 25 januari 2019,0,0,0,0,0,0,0,0
19,Jakarta Barat,KEC. CENGKARENG ,KEL. CENGKARENG TIMUR,3,1,11,0,0,10 - 70 cm," 25, 31 januari 2019",0,0,0,0,0,0,0,0
20,Jakarta Barat,KEC. CENGKARENG ,KEL. RAWA BUAYA,"01, 02, 04, 11",4,18,0,0,10 - 60 cm," 25, 30 januari 2019",0,0,0,0,0,0,0,0
21,Jakarta Barat,KEC. CENGKARENG ,KEL. DURI KOSAMBI,"04, 06",2,7,0,0,30 - 40 cm, 30 januari 2019,0,0,0,0,0,0,0,0
22,Jakarta Barat,KEC. CENGKARENG ,KEL. KEDAUNG KALI ANGKE,5,1,3,0,0,15 - 20 cm, 30 januari 2019,0,0,0,0,0,0,0,0
23,Jakarta Barat,KEC. GROGOL PETAMBURAN,KEL. WIJAYA KUSUMA ,5,1,1,0,0,10 - 20 cm, 25 januari 2019,0,0,0,0,0,0,0,0
24,Jakarta Barat,KEC. GROGOL PETAMBURAN,KEL. JELAMBAR BARU,"01, 05, 07, 09, 12",5,8,0,0,10 - 30 cm," 25, 30 januari 2019",0,0,0,0,0,0,0,0
25,Jakarta Barat,KEC. KEMBANGAN,KEL. KEMBANGAN UTARA,"03, 05, 10",3,7,0,0,15 - 20 cm, 25 januari 2019,0,0,0,0,0,0,0,0
26,Jakarta Barat,KEC. PALMERAH,KEL. JATI PULO,6,1,1,0,0,40 cm, 12 januari 2019,0,0,0,0,0,0,0,0
27,Jakarta Barat,KEC. PALMERAH,KEL. KOTA BAMBU UTARA,1,1,1,0,0,20 cm, 12 januari 2019,0,0,0,0,0,0,0,0
28,Jakarta Selatan,KEC. PASAR MINGGU,KEL. JATIPADANG,6,1,3,65,240,30 - 60 cm," 13, 22 januari 2019",0,0,0,0,0,0,0,0
29,Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05",2,4,70,213,10 - 30 cm," 8, 21 januari 2019",0,0,0,0,0,0,0,0
30,Jakarta Timur,KEC. CAKUNG,KEL. RAWA TERATE,"04, 05",2,2,0,0,15 - 30 cm, 30 januari 2019,0,0,0,0,0,0,0,0
0,Jakarta Utara,KEC. PENJARINGAN,KEL. KAMAL MUARA,"01, 04",2,2,0,0,5 cm," 01, 02 februari 2019",0,0,0,0,0,0,0,0
1,Jakarta Barat,KEC. KEMBANGAN,KEL. KEMBANGAN UTARA,1,1,1,0,0,50 - 60 cm," 01, 02 februari 2019",0,0,0,0,0,0,0,0
2,Jakarta Barat,KEC. KALIDERES,KEL. KAMAL,1,1,3,0,0,5 cm," 01, 03 februari 2019",0,0,0,0,0,0,0,0
3,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. GROGOL SELATAN,6,1,1,0,0,10 - 50 cm," 11, 12 februari 2019",0,0,0,0,0,0,0,0
4,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. CIPULIR,"08,10",2,3,0,0,40 cm," 16,17 februari 2019",0,0,0,0,0,0,0,0
5,Jakarta Selatan,"KEC, PASAR MINGGU",KEL. PEJATEN TIMUR,"05, 06, 07, 08",4,5,86,171,40 - 80 cm,"16,26 februari 2019",0,0,0,0,0,0,0,0
6,Jakarta Selatan,"KEC, PASAR MINGGU",KEL. CILANDAK TIMUR,3,1,2,0,0,60 cm," 19,20 februari 2019",0,0,0,0,0,0,0,0
7,Jakarta Selatan,KEC. PANCORAN,KEL. PENGEDEGAN,1,1,1,4,12,80 cm,"16,26 februari 2019",0,0,0,0,0,0,0,0
8,Jakarta Selatan,KEC. PANCORAN,KEL. RAWAJATI,"07, 04",2,6,0,0,20 - 70 cm,"16,26 februari 2019",0,0,0,0,0,0,0,0
9,Jakarta Selatan,KEC. PANCORAN,KEL. DUREN TIGA,5,1,4,0,0,40 - 70 cm," 16,17 februari 2019",0,0,0,0,0,0,0,0
10,Jakarta Selatan,KEC. PANCORAN,KEL. KALIBATA,9,1,1,0,0,30 - 40 cm," 16,17 februari 2019",0,0,0,0,0,0,0,0
11,Jakarta Selatan,KEC. TEBET,KEL. KEBON BARU,10,1,1,0,0,5 - 10 cm,16 februari 2019,0,0,0,0,0,0,0,0
12,Jakarta Selatan,KEC. TEBET,KEL. MANGGARAI,1,1,2,0,0,15 cm, 26 februari 2019,0,0,0,0,0,0,0,0
13,Jakarta Selatan,KEC. KEBAYORAN BARU,KEL PETOGOGAN,"02,03",2,27,0,0,30 - 50 cm," 16,17,19,20 februari 2019",0,0,0,0,0,0,0,0
14,Jakarta Selatan,KEC. MAMPANG,KEL. KUNINGAN BARAT,3,1,6,0,0,20 - 40 cm," 16,17 februari 2019",0,0,0,0,0,0,0,0
15,Jakarta Selatan,KEC. JAGAKARSA,KEL. CIPEDAK,4,1,2,0,0,50 - 70 cm, 19 februari 2019,0,0,0,0,0,0,0,0
16,Jakarta Selatan,KEC. CILANDAK,KEL. CILANDAK BARAT,2,1,1,0,0,40 - 50 cm," 19,20 februari 2019",0,0,0,0,0,0,0,0
17,Jakarta Timur,KEC. MAKASAR,KEL. CIPINANG MELAYU,"03, 04",2,13,0,0,40 - 60 cm," 11, 12 februari 2019",0,0,0,0,0,0,0,0
18,Jakarta Timur,KEC. PASAR REBO,KEL. PEKAYON,"04, 07",2,5,0,0,20 - 60 cm," 11, 12 februari 2019",0,0,0,0,0,0,0,0
19,Jakarta Timur,KEC. JATINEGARA,KEL. CIPINANG MUARA,13,1,3,0,0,20 - 40 cm," 11, 12 februari 2019",0,0,0,0,0,0,0,0
20,Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05, 07, 08",4,26,308,1003,10 - 100 cm," 16,26 februari 2019",0,0,0,0,0,0,0,0
21,Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,"07, 11",2,12,0,0,40 - 135," 16,17 februari 2019",0,0,0,0,0,0,0,0
22,Jakarta Timur,KEC.KRAMAT JATI,KEL BALEKAMBANG,5,1,3,0,0,15 - 120 cm,16 februari 2019,0,0,0,0,0,0,0,0
23,Jakarta Timur,KEC.KRAMAT JATI,KEL. CAWANG,"01, 02, 03, 05, 08",5,14,0,0,20 - 80 cm," 16,26 februari 2019",0,0,0,0,0,0,0,0
24,Jakarta Timur,KEC.KRAMAT JATI,KEL. CILILITAN,"06, 07",2,5,0,0,20 - 90 cm," 16,26 februari 2019",0,0,0,0,0,0,0,0
0,Jakarta Pusat,KEC. SENEN,KEL. KRAMAT,1,1,1,0,0,20 cm, 26 maret 2019,0,0,0,0,0,0,0,0
1,Jakarta Utara,KEC. CILINCING,KEL. SEMPER TIMUR,"03, 09",2,6,0,0,10 cm - 50 cm,05 maret 2019,0,0,0,0,0,0,0,0
2,Jakarta Utara,KEC. CILINCING,KEL. KALIBARU,"07, 08, 012",3,3,0,0,30 cm ,05 maret 2019,0,0,0,0,0,0,0,0
3,Jakarta Utara,KEC. CILINCING,KEL. CILINCING,"06, 09",2,4,0,0,30 cm ,05 maret 2019,0,0,0,0,0,0,0,0
4,Jakarta Utara,KEC. CILINCING,KEL. ROROTAN,5,1,1,0,0,50 cm,05 maret 2019,0,0,0,0,0,0,0,0
5,Jakarta Utara,KEC. KELAPA GADING,KEL. PEGANGSAAN DUA,3,1,1,0,0,30 cm ,05 maret 2019,0,0,0,0,0,0,0,0
6,Jakarta Utara,KEC. KOJA,KEL. RAWA BADAK SELATAN,"01, 04, 011",3,4,0,0,10 cm - 20 cm,05 maret 2019,0,0,0,0,0,0,0,0
7,Jakarta Utara,KEC. PADEMANGAN,KEL. ANCOL,"05, 010, 012",3,3,0,0,25 cm - 30 cm,"05,06 maret 2019",0,0,0,0,0,0,0,0
8,Jakarta Utara,KEC. PENJARINGAN,KEL. PLUIT,"01, 011, 022",3,7,0,0,40 cm ,05 maret 2019,0,0,0,0,0,0,0,0
9,Jakarta Utara,KEC. PENJARINGAN,KEL. PEJAGALAN,"07, 015",2,2,0,0,15 cm - 30 cm,05 maret 2019,0,0,0,0,0,0,0,0
10,Jakarta Utara,KEC. PENJARINGAN,KEL. PENJARINGAN,8,1,2,0,0,30 cm ,05 maret 2019,0,0,0,0,0,0,0,0
11,Jakarta Utara,KEC. PENJARINGAN,KEL. KAMAL MUARA,3,1,1,0,0,50 cm,05 maret 2019,0,0,0,0,0,0,0,0
12,Jakarta Utara,KEC. TANJUNG PRIOK,KEL. WARAKAS,1,1,4,0,0,50 cm,05 maret 2019,0,0,0,0,0,0,0,0
13,Jakarta Utara,KEC. TANJUNG PRIOK,KEL. KEBON BAWANG,2,1,1,0,0,10 cm,05 maret 2019,0,0,0,0,0,0,0,0
14,Jakarta Utara,KEC. TANJUNG PRIOK,KEL. SUNGAI BAMBU,10,1,1,0,0,15 cm,05 maret 2019,0,0,0,0,0,0,0,0
15,Jakarta Utara,KEC. TANJUNG PRIOK,KEL. TANJUNG PRIOK,"01, 03, 06, 012, 013, 014, 015",7,7,0,0,20 cm - 30 cm,05 maret 2019,0,0,0,0,0,0,0,0
16,Jakarta Barat,KEC. KEBON JERUK,KEL. KEDOYA UTARA,"01,02,04,08",4,8,0,0,15 cm - 50 cm, 05 maret 2019,0,0,0,0,0,0,0,0
17,Jakarta Barat,KEC. KEBON JERUK,KEL. KEDOYA SELATAN,2,1,1,0,0,25 cm , 05 maret 2019,0,0,0,0,0,0,0,0
18,Jakarta Barat,KEC. KEBON JERUK,KEL. DURI KEPA,"02, 03, 04, 05, 08, 09, 013",7,8,0,0,20 cm - 40 cm, 05 maret 2019,0,0,0,0,0,0,0,0
19,Jakarta Barat,KEC. CENGKARENG,KEL. KEDAUNG KALI ANGKE,"01, 02, 03, 04, 05, 06, 07, 08",8,24,29,85,40 cm - 75 cm, 05 maret 2019,0,0,0,0,85,2,0,0
20,Jakarta Barat,KEC. CENGKARENG,KEL. RAWA BUAYA,"01, 02, 04, 011",4,19,0,0,20 cm - 70 cm, 05 maret 2019,0,0,0,0,0,0,0,0
21,Jakarta Barat,KEC. CENGKARENG,KEL. CENGKARENG TIMUR,"03, 04, 05, 012, 013, 014, 016",7,44,0,0,10 cm - 50 cm," 05, 06 maret 2019",0,0,0,0,0,0,0,0
22,Jakarta Barat,KEC. CENGKARENG,KEL. CENGKARENG BARAT,"06, 08, 09, 010, 014",5,13,0,0,50 cm , 05 maret 2019,0,0,0,0,0,0,0,0
23,Jakarta Barat,KEC. CENGKARENG,KEL. KAPUK,"01, 02, 3, 05, 06, 07, 09, 010, 012, 013, 015, 016",12,24,0,0,15 cm - 50 cm, 05 maret 2019,0,0,0,0,0,0,0,0
24,Jakarta Barat,KEC. GROGOL PETAMBURAN,KEL. JELAMBAR BARU,"01, 02, 03, 04, 05, 06, 010, 012",8,8,0,0,20 cm - 60 cm, 05 maret 2019,0,0,0,0,0,0,0,0
25,Jakarta Barat,KEC. GROGOL PETAMBURAN,KEL. JELAMBAR ,"03, 04, 07",3,3,0,0,30 cm - 40 cm, 05 maret 2019,0,0,0,0,0,0,0,0
